Timestamp,Temperature,Set Temperature
2025-05-15 17:39:44.770,0.0,0.0
2025-05-15 17:39:44.770,0.0,0.0
2025-05-15 17:39:44.770,0.0,0.0
2025-05-15 17:39:46.579,46.81,30.0
2025-05-15 17:39:46.579,46.81,30.0
2025-05-15 17:39:47.578,46.75,30.0
2025-05-15 17:39:47.578,46.75,30.0
2025-05-15 17:39:48.579,46.63,30.0
2025-05-15 17:39:49.113,46.5,30.0
2025-05-15 17:39:49.113,46.5,30.0
2025-05-15 17:39:50.079,46.38,30.0
2025-05-15 17:39:50.079,46.38,30.0
2025-05-15 17:39:51.079,46.25,30.0
2025-05-15 17:39:51.079,46.25,30.0
2025-05-15 17:39:52.079,46.13,30.0
2025-05-15 17:39:52.628,46.0,30.0
2025-05-15 17:39:52.628,46.0,30.0
2025-05-15 17:39:53.579,45.88,30.0
2025-05-15 17:39:53.579,45.88,30.0
2025-05-15 17:39:54.579,45.75,30.0
2025-05-15 17:39:54.579,45.75,30.0
2025-05-15 17:39:55.579,45.56,30.0
2025-05-15 17:39:55.579,45.56,30.0
2025-05-15 17:39:56.579,45.5,30.0
2025-05-15 17:39:57.079,45.31,30.0
2025-05-15 17:39:57.079,45.31,30.0
2025-05-15 17:39:58.079,45.19,30.0
2025-05-15 17:39:58.079,45.19,30.0
2025-05-15 17:39:59.079,45.06,30.0
2025-05-15 17:39:59.079,45.06,30.0
2025-05-15 17:40:00.079,44.94,30.0
2025-05-15 17:40:00.579,44.81,30.0
2025-05-15 17:40:00.579,44.81,30.0
2025-05-15 17:40:01.578,44.75,30.0
2025-05-15 17:40:01.578,44.75,30.0
2025-05-15 17:40:02.579,44.63,30.0
2025-05-15 17:40:02.579,44.63,30.0
2025-05-15 17:40:03.579,44.5,30.0
2025-05-15 17:40:04.079,44.38,30.0
2025-05-15 17:40:04.079,44.38,30.0
2025-05-15 17:40:05.078,44.25,30.0
2025-05-15 17:40:05.078,44.25,30.0
2025-05-15 17:40:06.079,44.13,30.0
2025-05-15 17:40:06.079,44.13,30.0
2025-05-15 17:40:07.079,44.0,30.0
2025-05-15 17:40:07.579,43.81,30.0
2025-05-15 17:40:07.579,43.81,30.0
2025-05-15 17:40:08.579,43.69,30.0
2025-05-15 17:40:08.579,43.69,30.0
2025-05-15 17:40:09.579,43.56,30.0
2025-05-15 17:40:09.579,43.56,30.0
2025-05-15 17:40:10.579,43.44,30.0
2025-05-15 17:40:11.079,43.31,30.0
2025-05-15 17:40:11.079,43.31,30.0
2025-05-15 17:40:12.079,43.19,30.0
2025-05-15 17:40:12.079,43.19,30.0
2025-05-15 17:40:13.079,43.06,30.0
2025-05-15 17:40:13.079,43.06,30.0
2025-05-15 17:40:14.079,42.94,30.0
2025-05-15 17:40:14.585,42.81,30.0
2025-05-15 17:40:14.585,42.81,30.0
2025-05-15 17:40:15.579,42.69,30.0
2025-05-15 17:40:15.579,42.69,30.0
2025-05-15 17:40:16.579,42.56,30.0
2025-05-15 17:40:16.579,42.56,30.0
2025-05-15 17:40:17.579,42.44,30.0
2025-05-15 17:40:18.100,42.31,30.0
2025-05-15 17:40:18.100,42.31,30.0
2025-05-15 17:40:19.078,42.25,30.0
2025-05-15 17:40:19.078,42.25,30.0
